,No.,Author,author_name,date_publication,title_short,autofile
0,100001,"Augurello, Chrysopoeia","Augurelli, Giovanni Aurelio",1515,Chrysopoeia,
1,100002,"Pseudo-Lull, Secretis",Pseudo-Lull,1518,De secretis naturae,Pseudo-Lull1518_De_secretis_naturae_MDZ.json
2,100003,"Pantheus, Ars Transmutatione","Panteo, Giovanni Agostino",1518,Ars Transmutationis Metallicae,Pantheus1518_Ars_Transmutationis_Metallicae_BL_GB.json
3,100004,"Pantheus, Commentarium","Panteo, Giovanni Agostino",1519,Commentarium transmutationis metallicae ,Pantheus1519_Commentarium_Transmutationis_Metallicae_MDZ.json
4,100005,"Pantheus, Voarchadumia","Panteo, Giovanni Agostino",1530,Voarchadumia,Pantheus1530_Voarchadumia_ONB.json
5,100006,"Savonarola, De arte conficiendi aquam vitae","Savonarola, Michele",1532,De arte conficiendi Aquam vitae,Savonarola1532_De_arte_conficiendi_aquam_vitae_ONB.json
6,,"Anon, Rosarium philosophorum",,,,Anon1550_Rosarium_philosophorum_Erara.json
7,100008,"Severinus, Epistola","Severinus, Petrus",1571,Epistola,Severinus1572_Epistola_MBZ_MBS.json
8,100009,"Vegius, Inter inferiora corpora",,1518,Inter inferiora corpora,Vegius1518_Inter_inferiora_corpora_disputatio_ONB.json
9,100010,"Bracesco, De alchimia dialogi duo","Bracesco, Giovanni",1548,De Alchimia Dialogi Duo,Bracesco1548_De_alchemia_dialogi_II_IA_Madrid.json
10,100011,"Anon, De alchemia",,1541,De alchemia,De_alchemia1541_MDZ_MBS.json
11,100012,"Gessner, Euonymus","Gessner, Conrad",1552,Thesavrvs Evonymi Philiatri,Gessner1552_Thesaurus_Euonymi_Philiatri_ER_ZZ.json
12,100013,"Ulstadt, Coelum","Ulstadt, Philipp",1525,Coelum philosophorum,Ulstad1525_Coelum_philosophorum_IA_BIUSP_pdf.json
13,100014,"Toxites, Spongia","Toxites, Michael",1567,Spongia stibii,Toxites1567_Spongia_stibii_MDZ_MBS.json
14,100015,"Gessner, Euonymus II","Gessner, Conrad",1569,De remedijs secretis,Gessner1569_Thesaurus_Euonymi_Philiatri_Liber_Secundus_MDZ_MBS.json
15,100016,"Bonus, Pretiosa margarita novella","Bonus, Petrus",1546,Pretiosa margarita novella,Bonus1546_Pretiosa_Margarita_Novella_ONB.json
16,100017,"Bodenstein, Isagoge","Bodenstein, Adam",1559,Isagoge,Bodenstein1559_Isagoge_MDZ_MBS.json
17,100018,"Trevisan, Peri chemeias","Trevisanus, Bernhardus",1567,Peri chemeias,
18,100019,"Ulstadt, De epidemia","Ulstadt, Philipp",1526,De epidemia,Ulstadt1526_De_epidemia_ONB.json
19,,"Dorn, Artificii chymistici",,,,Dorn1569_Artificii_chymistici_MDZ_MBS.json
20,100021,"Dorn, Clavis","Dorn, Gerard",1567,Clavis,Dorn1567_Clavis_totius_philosophiae_chymisticae_ONB_pdf.json
21,,"Anon, De alchimia opuscula ",,,,Anon1550_De_alchemia_opuscula_MDZ_MBS.json
22,100023,"Paracelsus, Labyrinthus","Paracelsus, Theophrastus von Hohenheim",1553,Labyrinthus medicorum errantium,Paracelsus1553_Labyrinthus_medicorum_errantium_MDZ_MBS_pdf.json
