;Unnamed: 0;working_title;filenames;no.;is_done;is_noscemus;if_noscemus_id;AUTHORSHIP;is_one_author;#if more than 1 author skip section and choose compendium below;is_author_known;author_name;author_name_alternatives;author_viaf;author_cerl;author_comments;is_compendium;if_compendium;TRANSLATION / EDITORSHIP;is_translator;translator_name;translator_name_alternatives;translator_comments;is_editor;editor_name;editor_name_alternatives;editor_comments;DATE OF PUBLICATION;date_publication;date_certainty;date_not_after;date_not_before;date_comment;TITLE;title_short;title_full;title_viaf;title_comments;PLACE OF PUBLICATION;place_publication;place_geonames;place_comments;PUBLISHER;publisher_name;publisher_name_alternatives;publisher_comments;CONTENTS;genre;subject;SOURCE OF FILE;link;source_of_file;origin_of_copy;other_notes;tokens_N;aurhor_wd
0;0;Augurello, Chrysopoeia;100001_Augurello1515_Chrysopoeia_GB_Noscemus;100001;True;True;713324.0;;True;;True;Augurelli, Giovanni Aurelio;Augurellus;88062391;cnp01876437;;False;;;False;;;;False;;;;;1515;True;;;;;Chrysopoeia;Ioannis Aurelii Augurelli P. Ariminensis Chrysopoeiae libri IIII et Geronticon liber primus;178020328.0;;;Venice;3164603;;;Da Rovere;;;;didactic poem;alchemy;;https://wiki.uibk.ac.at/noscemus/Chrysopoeia;GB;Noscemus;;23225;
1;1;Pseudo-Lull, Secretis;100002_Pseudo-Lull1518_De secretis_naturae_MDZ_MBS;100002;True;False;;;True;;True;Pseudo-Lull;;311395072;;not the same as Ramon Llull - this is the pseudonym of an alchemical school;False;;;False;;;;False;;;;;1518;True;;;July;;De secretis naturae;Sacri Doctoris Raymundi Lulli de secretis naturae sive the quinta essentia Libellus;;;;Augsburg;2954172;;;unknown;;;;treatise;alchemy, medicine;;https://www.digitale-sammlungen.de/en/view/bsb00038433?page=,1;MDZ;MBS;;24696;
2;2;Pantheus, Ars Transmutatione;100003_Pantheus1518_Ars_Transmutationis_Metallicae_BL_GB;100003;True;False;;;True;;True;Panteo, Giovanni Agostino;Pantheus;64103562;cnp01238178;;False;;;False;;;;False;;;;;1518;False;;;;;Ars Transmutationis Metallicae;Ars transmutationis metallicae cum Leonis X Ponti. Max. et Conci. Capi. Decemvirum Venetorvm edicto.;;;;Venice;3164603;;;Giovanni Tacuino;;;;treatise;alchemy;;https://www.google.co.uk/books/edition/Ars_Transmutationis_Metallicae_etc_Comme/qV8ZjWkjJnYC?hl=en&gbpv=1&dq=Ars%20transmutationis%20metallicae%20pantheus&pg=PA32&printsec=frontcover;GB;BL;;8683;
3;3;Anon, Vera alchemiae;100004_Anon1561_Verae_Alchemiae_MDZ_MBS;100004;True;False;;;True;;True;Gratarolo, Guilelmo;Gratarolus;46778621;cnp01322573;although most of the work is made up of compilations, there are numerous interventions that suggest he went beyond a regular editor;True;"[
  {
    ""page_range"": ""1-46"",
    ""author_name"": ""Bracesco, Giovanni"",
    ""author_viaf"": ""56619023"",
    ""author_cerl"": ""cnp01880810"",
    ""section_titles"": ""Dialogus cui titulus est Lignum Vitae""
  },
  {
    ""page_range"": ""49-111"",
    ""author_name"": ""Tauladanus, Robert"",
    ""section_titles"": ""In Ioannem Braceschum Gebri interpretem animadversio""
  },
  {
    ""page_range"": ""112-118"",
    ""author_name"": ""Geber"",
    ""author_name_alternatives"": ""Pseudo-Geber"",
    ""author_viaf"": ""168805073"",
    ""author_cerl"": ""cnp02148287"",
    ""section_titles"": ""De Investigatione perfectionis""
  },
  {
    ""page_range"": ""118-184"",
    ""author_name"": ""Geber"",
    ""author_name_alternatives"": ""Pseudo-Geber"",
    ""author_viaf"": ""168805073"",
    ""author_cerl"": ""cnp02148287"",
    ""section_titles"": ""Summa perfectionis""
  },
  {
    ""page_range"": ""184-192"",
    ""author_name"": ""Geber"",
    ""author_name_alternatives"": ""Pseudo-Geber"",
    ""author_viaf"": ""168805073"",
    ""author_cerl"": ""cnp02148287"",
    ""section_titles"": ""De inventione veritatis sive perfectionis""
  },
  {
    ""page_range"": ""193-201"",
    ""author_name"": ""Geber"",
    ""author_name_alternatives"": ""Pseudo-Geber"",
    ""author_viaf"": ""168805073"",
    ""author_cerl"": ""cnp02148287"",
    ""section_titles"": ""Liber fornacum""
  },
  {
    ""page_range"": ""201-206"",
    ""author_name"": ""Bacon, Roger"",
    ""author_viaf"": ""120688673"",
    ""author_cerl"": ""cnp01316462"",
    ""section_titles"": ""Speculum alchemiae""
  },
  {
    ""page_range"": ""207-221"",
    ""author_name"": ""Anglicus, Richardus"",
    ""author_viaf"": ""9048126"",
    ""author_cerl"": ""cnp02258398"",
    ""section_titles"": ""Correctorium alchemiae""
  },
  {
    ""page_range"": ""222-233"",
    ""section_titles"": ""Rosarius minor""
  },
  {
    ""page_range"": ""233-242"",
    ""author_name"": ""Khalid"",
    ""author_name_alternatives"": ""Khalid ibn Yazid"",
    ""author_viaf"": ""76302060"",
    ""author_cerl"": ""cnp01025436"",
    ""section_titles"": ""Liber secretorum alchemiae""
  },
  {
    ""page_range"": ""1-34"",
    ""section_titles"": ""Liber de magni lapidis compositione et operatione""
  },
  {
    ""page_range"": ""35"",
    ""author_name"": ""Montanus, Johannes Baptista"",
    ""section_titles"": ""De sublimatione""
  },
  {
    ""page_range"": ""35-59"",
    ""author_name"": ""Pseudo-Arnaldus"",
    ""section_titles"": ""Thesaurus thesaurorum""
  },
  {
    ""page_range"": ""60-65"",
    ""author_name"": ""Pseudo-Arnaldus"",
    ""section_titles"": ""Novum lumen""
  },
  {
    ""page_range"": ""65-67"",
    ""author_name"": ""Pseudo-Arnaldus"",
    ""section_titles"": ""Epistola Magistri Arnaldi de Villa Nova super Alchymiam ad Regem Neapolitanum""
  },
  {
    ""page_range"": ""67-73"",
    ""author_name"": ""Pseudo-Arnaldus"",
    ""section_titles"": ""Lumen luminum or Flos florum""
  },
  {
    ""page_range"": ""73-78"",
    ""author_name"": ""Pseudo-Arnaldus"",
    ""section_titles"": ""Practica Magistri Arnaldi de Villa Nova ad quendam Papam, ex libro dicto Breviarius librorum Alchymiae""
  },
  {
    ""page_range"": ""78-101"",
    ""author_name"": ""Albertus Magnus"",
    ""author_viaf"": ""570144647698729848285"",
    ""author_cerl"": ""cnp01322223"",
    ""section_titles"": ""De Alchymia""
  },
  {
    ""page_range"": ""102-103"",
    ""author_name"": ""Albertus Magnus"",
    ""author_viaf"": ""570144647698729848285"",
    ""author_cerl"": ""cnp01322223"",
    ""section_titles"": ""Scriptum Alberti super Arborem Aristotelis""
  },
  {
    ""page_range"": ""104-112"",
    ""author_name"": ""Pseudo-Lull"",
    ""author_viaf"": ""311395072"",
    ""section_titles"": ""Apertorium""
  },
  {
    ""page_range"": ""112-126"",
    ""author_name"": ""Pseudo-Lull"",
    ""author_viaf"": ""311395072"",
    ""section_titles"": ""Ars intellectiva""
  },
  {
    ""page_range"": ""127-139"",
    ""author_name"": ""Pseudo-Lull"",
    ""author_viaf"": ""311395072"",
    ""section_titles"": ""Practica""
  },
  {
    ""page_range"": ""139-163"",
    ""author_name"": ""Pseudo-Lull"",
    ""author_viaf"": ""311395072"",
    ""section_titles"": ""De intentione alchimistarum""
  },
  {
    ""page_range"": ""163-183"",
    ""author_name"": ""Pseudo-Lull"",
    ""author_viaf"": ""311395072"",
    ""section_titles"": ""De mercurio solo""
  },
  {
    ""page_range"": ""183-185"",
    ""author_name"": ""Pseudo-Lull"",
    ""author_viaf"": ""311395072"",
    ""section_titles"": ""Liber mercuriorum""
  },
  {
    ""page_range"": ""185-188"",
    ""author_name"": ""Pseudo-Lull"",
    ""author_viaf"": ""311395072"",
    ""section_titles"": ""Repertorium""
  },
  {
    ""page_range"": ""188-225"",
    ""author_name"": ""Pseudo-Aristoteles"",
    ""section_titles"": ""De perfecto magisterio""
  },
  {
    ""page_range"": ""226-231"",
    ""author_name"": ""Johannes de Rupescissa"",
    ""author_viaf"": ""161741750"",
    ""author_cerl"": ""cnp01878006"",
    ""section_titles"": ""De confectione veri Lapidis Philosophorum""
  },
  {
    ""page_range"": ""232-247"",
    ""author_name"": ""Ferrarius"",
    ""section_titles"": ""De lapide philosophorum et De thesauro philosophiae""
  },
  {
    ""page_range"": ""248-249"",
    ""author_name"": ""Pseudo-Lull"",
    ""author_viaf"": ""311395072"",
    ""section_titles"": ""Praxis universalis""
  },
  {
    ""page_range"": ""249-250"",
    ""author_name"": ""Odomar"",
    ""section_titles"": ""Practica Magistri Odomari ad discipulum""
  },
  {
    ""page_range"": ""250-251"",
    ""section_titles"": ""Arcanum philosophorum, ut ex Saturno facias aurum perfectum""
  },
  {
    ""page_range"": ""252-253"",
    ""section_titles"": ""Historiola antiqua de argento in aurum verso""
  },
  {
    ""page_range"": ""254-256"",
    ""section_titles"": ""Tractatus de marchasita, ex qua tandem cum alijs dicendis fit Elixir ad album verissimum""
  },
  {
    ""page_range"": ""256-259"",
    ""section_titles"": ""De arsenico et De sale alchali""
  },
  {
    ""page_range"": ""259-263"",
    ""section_titles"": ""Questio an lapis philosophicus valeat contra pestem""
  },
  {
    ""page_range"": ""263-264"",
    ""section_titles"": ""Vetus epistola doctiss. de metallorum materia, & artis imitatione""
  },
  {
    ""page_range"": ""265-266"",
    ""author_name"": ""Gratarolo, Gulielmo"",
    ""author_viaf"": ""46778621"",
    ""author_cerl"": ""cnp01322573"",
    ""section_titles"": ""De confectione veri Lapidis Philosophorum""
  },
  {
    ""page_range"": ""266-268"",
    ""section_titles"": ""Secret secretorum, & lapis philosophorum, Quomodo quinta Essentia extrahatur ex rebus mineralibus""
  },
  {
    ""page_range"": ""268-286"",
    ""author_name"": ""Augurello, Giovanni Aurelio"",
    ""author_viaf"": ""88062391"",
    ""author_cerl"": ""cnp01876437"",
    ""section_titles"": ""Chrysopoeia""
  },
  {
    ""page_range"": ""286-294"",
    ""author_name"": ""Augurello, Giovanni Aurelio"",
    ""author_viaf"": ""88062391"",
    ""author_cerl"": ""cnp01876437"",
    ""section_titles"": ""Geronticon""
  },
  {
    ""page_range"": ""295-299"",
    ""section_titles"": ""Carmina""
  }
]";;False;;;;False;;;;;1561;True;;;;;Verae Alchemiae;VERAE ALCHEMIAE ARTISQVE METALLICAE, CITRA AENIGMATA, DOCTRINA, CERTVQVE MOdus, scriptis tum nouis tum ueteribus nunc primùm & fideliter maiori ex parte editis, comprehensus: quorum elenchum à Praefatione reperies.;;;;Basel;2661604;;;Henricus et Petrus Perna;;;;compendium, florilegium;alchemy;;https://mdz-nbn-resolving.de/details:bsb10141168;MDZ;MBS;;368660;
4;4;Pantheus, Voarchadumia;100005_Pantheus1530_Voarchadumia_ONB;100005;True;False;;;True;;True;Panteo, Giovanni Agostino;Pantheus;64103562;cnp01238178;;False;;;False;;;;False;;;;;1530;True;;;;;Voarchadumia;Voarchadumia contra Alchimiam: Ars distincta ab Archimi'a & Sophia: cum Additionibus: Proportionibus: Numeris: & Figuris opportunis loannis Augustini Panthei Veneti sacerdotis. Venetiis. Diebus. Aprilis. M.D.XXX.;207952266.0;;;Venice;3164603;;;unknown;;;;treatise;alchemy;;https://data.onb.ac.at/rep/10588E49;ONB;ONB;;21175;
5;5;Savonarola, De arte conficiendi aquam vitae;100006_Savonarola1532_De_arte_conficiendi_aquam_vitae_ONB;100006;True;False;;;True;;True;Savonarola, Michele;;121624533;cnp0215645;two entries in CERL (cnp01349613);False;;;False;;;;False;;;;;1532;True;;;September;;De arte conficiendi Aquam vitae;Excellentissimi medici Michaelis Savonarolae libellus singularis de arte conficiendi Aquam vitae simplicem & compositam. Et de eiusdem admirabili virtute ad conservandam sanitatem, & ad diversas Humani corporis aegritudines curandas.;;;;Haguenau;3014078;GeoNames not good for Haganoa;;Kobian, Valentin;;;;treatise;alchemy, medicine;;https://onb.digital/result/1088C33C;ONB;ONB;;14978;
6;6;Anon, Rosarium philosophorum;100007_Anon1550_Rosarium_philosophorum_ER_ZZ;100007;True;False;;;False;;False;;;;;;False;;;False;;;;False;;;;;1550;True;;;;;Rosarium philosophorum;ROSARIVM PHILOSOPHORVM. SECVNDA PARS ALCHIMIAE DE LAPIDE PHILOSOPHICO VERO MODO praeparando, continens exactam eius scientiae progressionem. Cum Figuris rei perfectionem ostendentibus.;;;;Frankfurt;2925533;;;Cyriacus Jacob;;;;treatise, florilegium;alchemy;;https://doi.org/10.3931/e-rara-34454;ER;ZZ;;38016;
7;7;Severinus, Epistola;100008_Severinus1572_Epistola_MBZ_MBS;100008;True;False;;;True;;True;Severinus, Petrus;Peder Sorensen;30587646;cnp00996720;;False;;;False;;;;False;;;;;1571;False;1572.0;1570.0;;;Epistola;EPISTOLA SCRIPTA THEOPHRASTO PARACELSO. In qua ratio ordinis & nominum, adeoque totius Philosophiae. Adeptae Methodus compendiosè & eruditè ostenditur: PETRO SEVERINO DANO PHIlosophiae & Medicinae Doctore. BASILEAE.;;;;Basel;2661604;;;unknown;;;;letter;alchemy, medicine, Paracelsianism;;https://mdz-nbn-resolving.de/details:bsb00034170;MDZ;MBS;;2261;
8;8;Vegius, Inter inferiora corpora;100009_Vegius1518_Inter_inferiora_corpora_disputatio_ONB;100009;True;False;;;False;;False;Vegius, Maphaeus;Vegio, Maffeo;17232779;cnp01469459;;True;"[
  {
    ""page_range"": ""3-64"",
    ""author_name"": ""Vegius, Mapheus"",
    ""author_name_alternatives"": ""Vegio, Maffeo"",
    ""author_viaf"": ""17232779"",
    ""author_cerl"": ""cnp01469459"",
    ""author_comments"": ""Italian humanist poet""
  }, 
  {
    ""page_range"": ""65-78"",
    ""author_name"": ""Lucian of Samosata"",
    ""author_name_alternatives"": """",
    ""author_viaf"": ""148151776730118010511"",
    ""author_cerl"": ""cnp02342360"",
    ""author_comments"": """"
  }
]";;True;Rinuccini, Alamanno;;;False;;;;;1518;True;;;;;Inter inferiora corpora;Inter inferiora corpora, scilicet terram aurum, et superiora, praesertim solem, elegantissima disputatio. Eiusdem de miseria et felicitate dialogus. Luciani Charon, Rhinuccino Florentino interprete.;;;;Basel;2661604;;;Cratander, Andreas;;;;treatise, dialogue, play;Renaissance philosophy;;http://data.onb.ac.at/rep/1099703B;ONB;ONB;;27814;
9;9;Bracesco, De alchimia dialogi duo;100010_Bracesco1548_De_alchemia_dialogi_duo_IA_Madrid;100010;True;False;;;True;;True;Bracesco, Giovanni;Bracescus;56619023;cnp01880810;;False;;;False;;;;False;;;;;1548;True;;;;;De Alchimia Dialogi Duo;De Alchimia Dialogi II. Quorum prior, Genuinam librorum Gebri sententiam, de industria ab authore celatam, & figurato sermone involutam retegit, & certis argumentis probat. Alter Raimundi Lullij Maioricani, Mysteria in lucem producit. Quibus praemittitur, propositiones centum uiginti nouem, idem argumentum compendiosa breuitate complectentes.;;;;Nuremberg;2861650;;;Johannes Petreius;;;;dialogue;alchemy;;https://archive.org/details/dealchemiadialo00bracgoog/;IA;UCM;;42208;
