,0
Anon1550_De_alchemia_opuscula_MDZ_MBS.json,Anon_De-alchimia-opuscula-
Anon1550_Rosarium_philosophorum_Erara.json,Anon_Rosarium-philosophorum
Auriferae_artisI1572_MBZ_Augsburg.json,Anon1572_Artis-auriferae
Barnaud1599_Quadriga_aurifera_IA_Madrid.json,Anon_Quadriga-aurifera
Bodenstein1559_Isagoge_MDZ_MBS.json,Bodenstein1559_Isagoge
Bonus1546_Pretiosa_Margarita_Novella_ONB.json,Bonus1546_Pretiosa-margarita-novella
Bracesco1548_De_alchemia_dialogi_II_IA_Madrid.json,Bracesco1548_De-alchimia-dialogi-duo
Claveus1598_Apologia_crysopoeiae_MDZ_MBS.json,Claveus1598_Apologia-crysopoeiae
De_alchemia1541_MDZ_MBS.json,Anon1541_De-alchemia
Dorn1567_Clavis_totius_philosophiae_chymisticae_ONB_pdf.json,Dorn1567_Clavis
Dorn1569_Artificii_chymistici_MDZ_MBS.json,Dorn_Artificii-chymistici
Dorn1570_Lapis_metaphysicus_MDZ_MBS_pdf.json,Dorn_Lapis-metaphysicus
Dorn1578_Theophrasti_Germani_Principis_MDZ_MBS.json,Dorn1578_Theophrasti-Germani-
Dorn1583_De_Naturae_luce_physica_MDZ_MBS.json,Dorn1583_De-naturae-luce-physica
DuChesne1575_Ad_Iacobi_Auberti_MDZ_Augsburg.json,Duchesne1575_Ad-Iacobi-Auberti
DuChesne1575_Sclopetarius_MDZ_Augsburg.json,Duchesne1576_Sclopetarius
Erastus1578_Disputatio_de_auro_potabili_MDZ_MBS.json,Erastus1578_Disputatio-de-auro-potabili
Fanianus1560_De_arte_metallicae_ONB_pdf.json,Fanianus1560_De-arte-metallicae
Fanianus1576_De_arte_metallicae_MDZ_MBS.json,
Garlandius1560_Compendium_Alchemiae_SLUB_pdf.json,Garlandius1560_Compendium-Alchemiae
Gessner1552_Thesaurus_Euonymi_Philiatri_ER_ZZ.json,Gessner1552_Euonymus
Gessner1569_Thesaurus_Euonymi_Philiatri_Liber_Secundus_MDZ_MBS.json,Gessner1569_Euonymus-II
Hagecius1585_De_cervisia_ejusque_conficiendi_ratione.json,Hagecius_De-cerevisia
Hagecius1596_Actio_medica_ER_UBB.json,Hagecius_Actio-medica
Khunrath1599_Confessio_de_chao_chymicorum_MDZ_MBS.json,Khunrath1599_Confessio
Mirandola1586_De_auro_libri_tres_MDZ_MBS.json,Mirandola1586_De-auro
Moffett_De_iure_et_praestantia_MDZ_MBS.json,Moffett1584_De-iura-et-praestantia-chymicorum
Pantheus1518_Ars_Transmutationis_Metallicae_BL_GB.json,Pantheus1518_Ars-Transmutatione
Pantheus1519_Commentarium_Transmutationis_Metallicae_MDZ.json,Pantheus1519_Commentarium
Pantheus1530_Voarchadumia_ONB.json,Pantheus1530_Voarchadumia
Paracelsus1553_Labyrinthus_medicorum_errantium_MDZ_MBS_pdf.json,Paracelsus1553_Labyrinthus
Paracelsus1560_Libri_quatuor_de_vita_longa_MDZ_MBS.json,Paracelsus1560_De-vita-longa
Paracelsus1582_Centum_quindecim_curationes_MDZ_MBS.json,Pseudo-Paracelsus1582_Centum-quindecim-curationes
Pedemontanus1563_De_Secretis_MDZ_MBS.json,Pedemontanus1563_De-secretis
Penotus1594_Tractatus_varii_MDZ_MBS.json,Penot1594_Tractatus-varii
Phaedro1562_Aquila_coelestis_MBZ_MBS.json,Phaedro_De-aquila
Portaleone1584_De_auro_dialogi_tres_ONB.json,Portaleone1584_De-auro-
Pseudo-Aquinas1579_Secreta_alchemiae_magnalia_ONB.json,Pseudo-Aquinas1579_De-secreta-alchemiae-magnalia
Pseudo-Democritus1572_Ars_magna.json,Pseudo-Democritus1572_Ars-magna
Pseudo-Lull1518_De_secretis_naturae_MDZ.json,Pseudo-Lull1518_Secretis
Pseudo-Lull1563_Codicillus_MDZ_MBS_pdf.json,Pseudo-Lull1563_Codicillus
Pseudo-Lull1567_Mercuriorum_liber_MDZ_MBS.json,Pseudo-Lull1567_Mercuriorum
Pseudo-Paracelsus1568_De_summis_naturae_mysteriis_MDZ_MBS.json,Pseudo-Paracelsus1584_De-summis-naturae
Pseudo-Paracelsus1568_Pyrophilia_vexationumque_ONB.json,Paracelsus1568_Pyrophilia
Rossi1585_De_destillatione_MDZ_MBS.json,Rossi1585_De-destillatione
Ruland1564_Medicina_practica_recens_MDZ_MDS.json,Ruland_Medica-practica
Rupescissa1561_De_Consideratione_Quintae_essentie_rerum_GB.json,Rupescissa1561_De-consideratione-quintae-essentiae
Savonarola1532_De_arte_conficiendi_aquam_vitae_ONB.json,Savonarola1532_De-arte-conficiendi-aquam-vitae
Senior1560_De_chemia_senioris_MDZ_MBS.json,Senior_De-chemia-Senioris
Severinus1572_Epistola_MBZ_MBS.json,Severinus1571_Epistola
Suavius1567_Theophrasti_Paracelsi_Philosophiae_ONB.json,Suavius1568_Compendium
Toxites1567_Spongia_stibii_MDZ_MBS.json,Toxites1567_Spongia
Ulstad1525_Coelum_philosophorum_IA_BIUSP_pdf.json,Ulstadt1525_Coelum
Ulstadt1526_De_epidemia_ONB.json,Ulstadt1526_De-epidemia
Vadis1595_Dialogus_IA_Wellcome.json,Vadis1595_Dialogus
Vegius1518_Inter_inferiora_corpora_disputatio_ONB.json,Vegius1518_Inter-inferiora-corpora
Ventura1571_De_ratione_conficiendi_lapis_MBZ_MBS.json,Ventura1571_De-ratione-conficiendi
Wecker1582_De_secretis_ONB.json,Wecker_De-secretis
Witestein1583_Disceptatio_philosophica_MDZ_MBS.json,Witestein1583_Disceptatio
