,token_text,lemma,pos,ref,char_start,char_end,id,sent_idx,sent_len,page,textblock,tag,blocktype,positions
2678470,ad,ad,ADV,"{'blocktype': 'text', 'page': array([119]), 'tag': '', 'textblock': array([18])}",12,14,100032,1732,76,[119],[18],,text,"[{'coordinates': {'upper_left_x': 0.08297872205152579, 'upper_left_y': 0.5370538480613264, 'lower_right_x': 0.7844523977726063, 'lower_right_y': 0.5398116860154498}, 'text': 'terra et ignis in siccitate. Et ideo hec ad inuicem ', 'tag': 'text', 'page': 119}]"
1242212,quibus,qui,PRON,"{'blocktype': 'text', 'page': array([229]), 'tag': '', 'textblock': array([38])}",20,26,100085,15212,84,[229],[38],,text,"[{'coordinates': {'upper_left_x': 0.051307422112239126, 'upper_left_y': 0.5318235959223134, 'lower_right_x': 0.8513816590865172, 'lower_right_y': 0.5330260129634269}, 'text': 'coctorum per additamenta in metallorum uenis, metallisque ipsis. Inuenerunt & coqui, quibus additis ', 'tag': 'text', 'page': 229}]"
3874438,nocentissima,nocentissimus,ADJ,"{'blocktype': 'text', 'page': array([69]), 'tag': '', 'textblock': array([8])}",296,308,100058,832,409,[69],[8],,text,"[{'coordinates': {'upper_left_x': 0.09882352812951352, 'upper_left_y': 0.29016624323829054, 'lower_right_x': 0.7023529822085084, 'lower_right_y': 0.2958669594517796}, 'text': 'ca nocentissima puellulae mihi commendatae ', 'tag': 'text', 'page': 69}]"
3414194,albo,albus,ADJ,"{'blocktype': 'text', 'page': array([292]), 'tag': '', 'textblock': array([17])}",24,28,100004,10375,246,[292],[17],,text,"[{'coordinates': {'upper_left_x': 0.29193112394209514, 'upper_left_y': 0.11937067731487534, 'lower_right_x': 0.9776798211013844, 'lower_right_y': 0.12074306599764645}, 'text': 'ueniamus. Fit enim tali modo: Accipe unciam de lapide albo praedicto ', 'tag': 'text', 'page': 292}]"
4627491,Gebri,Gebris,PROPN,"{'blocktype': 'text', 'page': array([165]), 'tag': '', 'textblock': array([18])}",438,443,100007,1810,444,[165],[18],,text,"[{'coordinates': {'upper_left_x': 0.304941180573792, 'upper_left_y': 0.5156579459364794, 'lower_right_x': 0.8494970497964811, 'lower_right_y': 0.5215011922877079}, 'text': 'agesimo tertio Gebri. Idem capite sexto dicit. ', 'tag': 'text', 'page': 165}]"
5293050,ob,ob,ADP,"{'blocktype': 'text', 'page': array([77]), 'tag': '', 'textblock': array([32])}",146,148,100023,1068,173,[77],[32],,text,"[{'coordinates': {'upper_left_x': 0.09196638860622373, 'upper_left_y': 0.8029453159794389, 'lower_right_x': 0.8485257701713498, 'lower_right_y': 0.8086460865591597}, 'text': 'tum ob causarum disparilitatem. Demum ob ea quibus corpora no', 'tag': 'text', 'page': 77}]"
4874963,Cap,Capitulum,PROPN,"{'blocktype': 'text', 'page': array([338]), 'tag': '', 'textblock': array([26])}",14,17,100067,6303,25,[338],[26],,text,"[{'coordinates': {'upper_left_x': 0.5409075568704044, 'upper_left_y': 0.6897862087802479, 'lower_right_x': 0.8283013351825105, 'lower_right_y': 0.6954869793599688}, 'text': '{Pediculorum, Cap. XIIII. ', 'tag': 'text', 'page': 338}]"
3370564,perficit,perficio,VERB,"{'blocktype': 'text', 'page': array([226]), 'tag': '', 'textblock': array([37])}",12,20,100004,8145,21,[226],[37],,text,"[{'coordinates': {'upper_left_x': 0.23215615181180493, 'upper_left_y': 0.6340117116317985, 'lower_right_x': 0.9531692179343508, 'lower_right_y': 0.6353573939497477}, 'text': '& azot tibi sufficiunt. Alibique. Calor omnia perficit. Et alibi. Coque, coque, ', 'tag': 'text', 'page': 226}]"
892951,in,in,ADP,"{'blocktype': 'text', 'page': array([498]), 'tag': '', 'textblock': array([14])}",52,54,100012,5367,97,[498],[14],,text,"[{'coordinates': {'upper_left_x': 0.054219268089117006, 'upper_left_y': 0.4881528947510284, 'lower_right_x': 0.7079451551469061, 'lower_right_y': 0.4983439840328921}, 'text': 'mansit, in uesica positum suspendes in ', 'tag': 'text', 'page': 498}]"
4911207,quod,qui,PRON,"{'blocktype': 'text', 'page': array([496]), 'tag': '', 'textblock': array([7])}",82,86,100067,9560,195,[496],[7],,text,"[{'coordinates': {'upper_left_x': 0.228705885430344, 'upper_left_y': 0.25909739152269523, 'lower_right_x': 0.8755440848214285, 'lower_right_y': 0.2647981077361843}, 'text': 'lo, uel aqua, ubi saccharum eliquaueris, quod ', 'tag': 'text', 'page': 496}]"
4773714,sint,sum,AUX,"{'blocktype': 'text', 'page': array([249]), 'tag': '', 'textblock': array([23])}",153,157,100063,3762,168,[249],[23],,text,"[{'coordinates': {'upper_left_x': 0.1052773098985688, 'upper_left_y': 0.6396199495945294, 'lower_right_x': 0.6938944327731092, 'lower_right_y': 0.6453207201742504}, 'text': 'modo sint apparatae; disces apud metallur', 'tag': 'text', 'page': 249}]"
3158719,",",",",PUNCT,"{'blocktype': 'text', 'page': array([729]), 'tag': '', 'textblock': array([11])}",27,28,100065,14083,38,[729],[11],,text,"[{'coordinates': {'upper_left_x': 0.05677419580439086, 'upper_left_y': 0.3504680756793612, 'lower_right_x': 0.7642904302125336, 'lower_right_y': 0.35434515481863177}, 'text': 'rii, elleb. nig. oleum Guaiaci oleum saturni, o', 'tag': 'text', 'page': 729}]"
6463522,Et,et,CCONJ,"{'blocktype': 'text', 'page': array([341]), 'tag': '', 'textblock': array([18])}",0,2,100011,4347,126,[341],[18],,text,"[{'coordinates': {'upper_left_x': 0.02921739039213761, 'upper_left_y': 0.567246835443038, 'lower_right_x': 0.7026919821034308, 'lower_right_y': 0.5691455406478688}, 'text': 'tur opus metallicum, tanto melius. Et scias quod praedictae ', 'tag': 'text', 'page': 341}]"
