,token,pdf_page,pdf_page_textblock,positions
477495,tamen,[163],[19],"[{'coordinates': {'upper_left_x': 0.12423529104024422, 'upper_left_y': 0.6670119043200713, 'lower_right_x': 0.8163131072741596, 'lower_right_y': 0.6728551144271452}, 'text': 'tamen semper sua pace manente, tripliciter\n', 'tag': 'text'}]"
2827510,in,[77],[13],"[{'coordinates': {'upper_left_x': 0.1036509363543, 'upper_left_y': 0.41117337450137736, 'lower_right_x': 0.7944321262974454, 'lower_right_y': 0.4139209697092337}, 'text': 'quam in septem libris, id est, in magno ro¬\n', 'tag': 'text'}]"
2935377,consumi,[41],[27 28],"[{'coordinates': {'upper_left_x': 0.10909090705096403, 'upper_left_y': 0.6834555070326679, 'lower_right_x': 0.873629809700869, 'lower_right_y': 0.6923847510031477}, 'text': 'ferre, nihil faciens rideat, sinatque torqueri eum, anxiari, con¬\n', 'tag': 'text'}, {'coordinates': {'upper_left_x': 0.1110160440047157, 'upper_left_y': 0.7064972754615189, 'lower_right_x': 0.8754738384389622, 'lower_right_y': 0.715208687064003}, 'text': 'sumi, tristissima etiam quauis morte deficere, nulla prorsus\n', 'tag': 'text'}]"
2750876,Postremo,[101],[7],"[{'coordinates': {'upper_left_x': 0.1257416300796436, 'upper_left_y': 0.2932860135608626, 'lower_right_x': 0.8207623787473833, 'lower_right_y': 0.3018117738659386}, 'text': 'gma: Sanguis: Cholera: & Melancholia. Postremo debi¬\n', 'tag': 'text'}]"
57867,Chirurgiae,[283],[22],"[{'coordinates': {'upper_left_x': 0.22951260093881304, 'upper_left_y': 0.753947785801106, 'lower_right_x': 0.7337403369550946, 'lower_right_y': 0.7597909959081799}, 'text': 'Chirurgiae magnae Partis j. libr. ij.\n', 'tag': 'text'}]"
362589,&,[439],[18],"[{'coordinates': {'upper_left_x': 0.2702990053500052, 'upper_left_y': 0.6079490969388601, 'lower_right_x': 0.9195587056815823, 'lower_right_y': 0.6183949853204618}, 'text': 'uenenoso tibi cauebis) euaporari & ex\n', 'tag': 'text'}]"
2092358,ex,[96],[11],"[{'coordinates': {'upper_left_x': 0.30292437898010766, 'upper_left_y': 0.21009971636774422, 'lower_right_x': 0.8729797876181723, 'lower_right_y': 0.21594294459689542}, 'text': 'ex calido & humido nutritur & augmentatur, sic\n', 'tag': 'text'}]"
1102508,partes,[1225],[17],"[{'coordinates': {'upper_left_x': 0.0527877222241648, 'upper_left_y': 0.5772462570226445, 'lower_right_x': 0.761804683129196, 'lower_right_y': 0.5810228493343086}, 'text': 'suas partes in fixione coniunctas, suumque\n', 'tag': 'text'}]"
2989801,de,[163],[5],"[{'coordinates': {'upper_left_x': 0.10769748206899947, 'upper_left_y': 0.23344414137887842, 'lower_right_x': 0.8918763745732669, 'lower_right_y': 0.2391448575923675}, 'text': 'Aquarum ciclaminis, de folijs serpentinę, sophiae ana vncię qua¬\n', 'tag': 'text'}]"
1565467,.,[451],[7],"[{'coordinates': {'upper_left_x': 0.07260869896930197, 'upper_left_y': 0.25685840370380775, 'lower_right_x': 0.7873651808586674, 'lower_right_y': 0.2595132642087683}, 'text': 'neae laminae fiunt. Philosophus. Aes siue cu¬\n', 'tag': 'text'}]"
3350371,horis,[88],[24],"[{'coordinates': {'upper_left_x': 0.3317180751178758, 'upper_left_y': 0.5827598076362115, 'lower_right_x': 0.9429227181993393, 'lower_right_y': 0.5847078298593497}, 'text': 'ebus vel horis, quod natura facit in mille annis.\n', 'tag': 'text'}]"
357265,",",[405],[4],"[{'coordinates': {'upper_left_x': 0.26790697471644, 'upper_left_y': 0.20433125425043128, 'lower_right_x': 0.9153849959769518, 'lower_right_y': 0.21452232733400511}, 'text': 'cta sit. Tum ulcere diligenter purgato,\n', 'tag': 'text'}]"
1176049,.,[152],[10],"[{'coordinates': {'upper_left_x': 0.4965378192292542, 'upper_left_y': 0.2941852125589185, 'lower_right_x': 0.6081658371356355, 'lower_right_y': 0.3000284407880697}, 'text': 'Scorpius.\n', 'tag': 'text'}]"
366401,rosatae,[465],[6],"[{'coordinates': {'upper_left_x': 0.2870431944381359, 'upper_left_y': 0.257324866681595, 'lower_right_x': 0.9397128792696221, 'lower_right_y': 0.26751593976516885}, 'text': 'dimidio aquae rosatae admixto: & est\n', 'tag': 'text'}]"
985727,illae,[605],[24],"[{'coordinates': {'upper_left_x': 0.1065637104913228, 'upper_left_y': 0.6990642018208515, 'lower_right_x': 0.810509798302767, 'lower_right_y': 0.702870743318175}, 'text': 'ram. Sed illae peiores extraneae naturae inficiunt illam\n', 'tag': 'text'}]"
1968698,abluete,[133],[10],"[{'coordinates': {'upper_left_x': 0.13270588081423976, 'upper_left_y': 0.36572921644197226, 'lower_right_x': 0.796044921875, 'lower_right_y': 0.3715724627932007}, 'text': 'sophi, abluete, purgate, dealbate latonem\n', 'tag': 'text'}]"
1423932,quem,[84],[7],"[{'coordinates': {'upper_left_x': 0.2654117616284795, 'upper_left_y': 0.2289120998065432, 'lower_right_x': 0.8599520130317753, 'lower_right_y': 0.2347553280356944}, 'text': 'tis, destillari liquor; quem plerique denuò, e¬\n', 'tag': 'text'}]"
510301,soluit,[79],[16],"[{'coordinates': {'upper_left_x': 0.08752941484210872, 'upper_left_y': 0.42359141442668125, 'lower_right_x': 0.8635271344866071, 'lower_right_y': 0.42943466077790976}, 'text': 'soluit Solem & omnes gemmas. Ad facturam vero huius auri potabilis\n', 'tag': 'text'}]"
2946654,nos,[73],[2],"[{'coordinates': {'upper_left_x': 0.09844504348713974, 'upper_left_y': 0.10453720923560501, 'lower_right_x': 0.8624561299587382, 'lower_right_y': 0.11324864160776571}, 'text': 'ueamus, ueluti Homerus ipse architectus optimus, nos suo\n', 'tag': 'text'}]"
50214,Mummia,[244],[19],"[{'coordinates': {'upper_left_x': 0.36988235601857933, 'upper_left_y': 0.5409976116551922, 'lower_right_x': 0.7120526482077206, 'lower_right_y': 0.546698309746604}, 'text': 'Cerati de Mummia [S]y[/S] iij.\n', 'tag': 'text'}]"
606490,si,[417],[22],"[{'coordinates': {'upper_left_x': 0.05533568850675657, 'upper_left_y': 0.6636601865681169, 'lower_right_x': 0.731413716562224, 'lower_right_y': 0.6662745257608251}, 'text': 'bluantur, & delebuntur. Quòd si ex atra¬\n', 'tag': 'text'}]"
1805521,corporis,[95],[12],"[{'coordinates': {'upper_left_x': 0.11132772750213367, 'upper_left_y': 0.36829450521219936, 'lower_right_x': 0.7441690909762343, 'lower_right_y': 0.3741377515634278}, 'text': 'sulphuris, tum argenti viui, similiter corporis &\n', 'tag': 'text'}]"
2821907,",",[50],[8],"[{'coordinates': {'upper_left_x': 0.22736843176055374, 'upper_left_y': 0.1414325111790707, 'lower_right_x': 0.9205835175095943, 'lower_right_y': 0.14424715544048108}, 'text': 'ctione. Et idem dicit, hoc nil aliud esse quam\n', 'tag': 'text'}]"
1436063,mirabiles,[135],[10 11],"[{'coordinates': {'upper_left_x': 0.12141176111557904, 'upper_left_y': 0.3110023552901388, 'lower_right_x': 0.7174581062893908, 'lower_right_y': 0.31684560164136727}, 'text': 'lydis, endiuię et huiusmodi, iungeremus, mi¬\n', 'tag': 'text'}, {'coordinates': {'upper_left_x': 0.1197983172761292, 'upper_left_y': 0.33577197294620326, 'lower_right_x': 0.7181392894071691, 'lower_right_y': 0.341472671037615}, 'text': 'rabiles haberet, quas diximus, in pestilentia\n', 'tag': 'text'}]"
518415,.,[98],[10],"[{'coordinates': {'upper_left_x': 0.1520672325326615, 'upper_left_y': 0.27480285354578016, 'lower_right_x': 0.9208495067949055, 'lower_right_y': 0.28064608177493133}, 'text': 'santes curat, dum ex ea illiniantur. Si quoque super oculos imponatur, om¬\n', 'tag': 'text'}]"
2497539,infectam,[950],[5],"[{'coordinates': {'upper_left_x': 0.23394957470292804, 'upper_left_y': 0.19043226083497253, 'lower_right_x': 0.8768844989167542, 'lower_right_y': 0.19627548906412373}, 'text': 'rinam pulcherrimam, aureo colore infectam: quę\n', 'tag': 'text'}]"
2278644,inuenitur,[73],[10],"[{'coordinates': {'upper_left_x': 0.1411764705882353, 'upper_left_y': 0.34175769506893927, 'lower_right_x': 0.725496487657563, 'lower_right_y': 0.3474583931603511}, 'text': 'non procul inuenitur alia: vnde etiam\n', 'tag': 'text'}]"
3388076,cacumina,[267],[15],"[{'coordinates': {'upper_left_x': 0.052070483237111095, 'upper_left_y': 0.4771753781801694, 'lower_right_x': 0.6769311039458288, 'lower_right_y': 0.47912340040330764}, 'text': 'et super cacumina dealbatur, & fit albus leuis, &\n', 'tag': 'text'}]"
1493982,",",[99],[7],"[{'coordinates': {'upper_left_x': 0.0539568345323741, 'upper_left_y': 0.21696429593222483, 'lower_right_x': 0.7845379946043165, 'lower_right_y': 0.21964286054883683}, 'text': 'nerrimus est, & citò virtus eius exhalat, nisi\n', 'tag': 'text'}]"
2095336,dei,[113],[19],"[{'coordinates': {'upper_left_x': 0.3170420157809217, 'upper_left_y': 0.46403800620036, 'lower_right_x': 0.8876404321494222, 'lower_right_y': 0.46973870429177184}, 'text': 'ficitur nutu dei. Similiter aurum in corporibus\n', 'tag': 'text'}]"
612219,ignem,[447],[17],"[{'coordinates': {'upper_left_x': 0.027773852061888354, 'upper_left_y': 0.535960810376668, 'lower_right_x': 0.7029102446754913, 'lower_right_y': 0.5386405396305658}, 'text': 'li pondere caphura, viui sulphuris, ignem\n', 'tag': 'text'}]"
3030478,Neque,[29],[21],"[{'coordinates': {'upper_left_x': 0.10137930902941474, 'upper_left_y': 0.5829880442978121, 'lower_right_x': 0.7651345614729257, 'lower_right_y': 0.5856052344601963}, 'text': 'Neque verò ignoramus etiam alias nonnullas\n', 'tag': 'text'}]"
